docname,topic,proportion
newsgroups:12,000,1.0
newsgroups:47,005,1.0
newsgroups:82,000,0.543543
newsgroups:82,001,0.192997
newsgroups:82,002,0.097214
newsgroups:82,005,0.088077
newsgroups:82,016,0.050381
newsgroups:82,003,0.026213
newsgroups:82,017,0.001576
newsgroups:117,000,1.0
newsgroups:152,012,1.0
newsgroups:187,002,1.0
newsgroups:222,000,1.0
newsgroups:257,001,1.0
newsgroups:292,005,0.29924
newsgroups:292,000,0.288348
newsgroups:292,016,0.155611
newsgroups:292,001,0.151873
newsgroups:292,002,0.058461
newsgroups:292,003,0.046466
newsgroups:327,005,0.378163
newsgroups:327,012,0.295377
newsgroups:327,001,0.107843
newsgroups:327,003,0.102089
newsgroups:327,002,0.074517
newsgroups:327,016,0.042011
newsgroups:362,000,1.0
newsgroups:397,005,0.663858
newsgroups:397,000,0.207721
newsgroups:397,006,0.113552
newsgroups:397,001,0.014868
newsgroups:432,006,1.0
newsgroups:467,008,1.0
newsgroups:502,012,0.332109
newsgroups:502,005,0.288275
newsgroups:502,000,0.275596
newsgroups:502,004,0.10402
newsgroups:537,005,1.0
newsgroups:572,000,1.0
newsgroups:607,008,1.0
newsgroups:642,005,1.0
newsgroups:677,000,1.0
newsgroups:712,006,1.0
newsgroups:747,000,1.0
newsgroups:782,008,1.0
newsgroups:817,005,1.0
newsgroups:852,005,0.371278
newsgroups:852,012,0.3504
newsgroups:852,016,0.278322
newsgroups:887,006,1.0
newsgroups:922,005,1.0
newsgroups:957,005,1.0
newsgroups:992,000,1.0
newsgroups:1027,016,1.0
newsgroups:1062,011,0.34045
newsgroups:1062,004,0.317404
newsgroups:1062,000,0.162664
newsgroups:1062,007,0.123253
newsgroups:1062,001,0.056228
newsgroups:1097,016,1.0
newsgroups:1132,001,1.0
newsgroups:1167,001,1.0
newsgroups:1202,013,1.0
newsgroups:1237,001,1.0
newsgroups:1272,009,1.0
newsgroups:1307,010,1.0
newsgroups:1342,010,1.0
newsgroups:1377,009,1.0
newsgroups:1412,001,1.0
newsgroups:1447,001,1.0
newsgroups:1482,001,1.0
newsgroups:1517,010,1.0
newsgroups:1552,005,1.0
newsgroups:1587,000,0.494878
newsgroups:1587,001,0.311209
newsgroups:1587,002,0.193913
newsgroups:1622,010,1.0
newsgroups:1657,009,0.39195
newsgroups:1657,001,0.364682
newsgroups:1657,003,0.243368
newsgroups:1692,010,1.0
newsgroups:1727,001,0.780208
newsgroups:1727,012,0.219792
