topic,term,weight
000,people,0.031249251
000,thing,0.011662153
000,government,0.009718665
000,force,0.008121252
000,kill,0.0061739287
000,live,0.0060762763
000,associate,0.0047198483
000,gun,0.0049304897
000,law,0.0054926323
000,moral,0.003171837
001,find,0.01760526
001,source,0.01429697
001,information,0.011412546
001,stuff,0.008885906
001,code,0.007178386
001,delete,0.0070297527
001,site,0.0064914324
001,ftp,0.0065998444
001,image,0.0063008657
001,advance,0.0062812525
002,year,0.030736616
002,team,0.0131166065
002,ago,0.009254299
002,beat,0.0061623077
002,win,0.007420846
002,player,0.006045686
002,play,0.0062759486
002,game,0.008733229
002,league,0.0041338284
002,season,0.0041781585
003,work,0.028166536
003,bike,0.010092807
003,bite,0.00882061
003,machine,0.00742632
003,modem,0.0056807455
003,suppose,0.0045894594
003,port,0.0048037204
003,universe,0.0036069055
003,version,0.004481101
003,accurately,0.003355743
004,program,0.017821498
004,disk,0.017923815
004,read,0.0189064
004,run,0.011329066
004,mac,0.008811421
004,pc,0.008849155
004,book,0.009287696
004,write,0.007869409
004,speed,0.0071512144
004,copy,0.0071605616
005,christian,0.018522928
005,jesus,0.014878648
005,koresh,0.011493828
005,david,0.010372797
005,people,0.010430812
005,claim,0.007595219
005,church,0.007405949
005,christ,0.00665971
005,bible,0.00654563
005,religion,0.005742698
006,book,0.029392663
006,read,0.02443726
006,church,0.014475521
006,christian,0.011711617
006,randism,0.00895357
006,write,0.009535838
006,disk,0.011020723
006,jesus,0.007286981
006,article,0.007427961
006,bible,0.0062675467
007,sell,0.028360516
007,price,0.019597042
007,offer,0.018535787
007,ship,0.016535968
007,include,0.015307734
007,pay,0.010387805
007,condition,0.009919003
007,email,0.010426575
007,buy,0.010714987
007,interest,0.0104974015
008,post,0.02797979
008,day,0.020587621
008,article,0.018676426
008,read,0.021036217
008,delete,0.012547877
008,stuff,0.011237113
008,group,0.01113129
008,think,0.009088021
008,lot,0.007835487
008,reply,0.0073517333
009,file,0.06642919
009,format,0.023792513
009,program,0.018211793
009,window,0.02035446
009,convert,0.013218137
009,gif,0.01217393
009,find,0.014518589
009,image,0.0117244385
009,directory,0.010103583
009,ftp,0.008855279
010,card,0.05966042
010,video,0.02652035
010,monitor,0.02583609
010,driver,0.023610376
010,color,0.018292097
010,vga,0.013110286
010,bus,0.0106589785
010,mode,0.010509995
010,graphic,0.010644096
010,window,0.016313395
011,problem,0.053744927
011,year,0.029478999
011,monitor,0.018096147
011,fix,0.013183315
011,ago,0.009526845
011,file,0.013658267
011,time,0.009684438
011,uhc,0.0056004007
011,print,0.0066128974
011,change,0.0064564548
012,make,0.05192148
012,break,0.014896954
012,promise,0.0146738915
012,thing,0.012088676
012,sense,0.009776488
012,begin,0.008070417
012,abortion,0.008039426
012,illegal,0.006971875
012,offer,0.008063485
012,wrong,0.0071055717
013,window,0.0907706
013,run,0.03555279
013,program,0.018988624
013,ms,0.016227063
013,application,0.013413426
013,manager,0.010756829
013,server,0.010216116
013,not,0.008930329
013,display,0.009277287
013,file,0.014119951
014,bike,0.042872466
014,ride,0.021176971
014,good,0.0220861
014,work,0.023249235
014,buy,0.014354341
014,motorcycle,0.01246069
014,drive,0.016634397
014,dod,0.008238398
014,mile,0.0073670167
014,think,0.00869376
015,game,0.08653149
015,play,0.024335649
015,team,0.019216238
015,show,0.017538775
015,win,0.015587582
015,score,0.013995461
015,baseball,0.013260744
015,player,0.013455842
015,hockey,0.010820431
015,espn,0.010217453
016,question,0.04613654
016,answer,0.03518459
016,time,0.02366679
016,reply,0.017035708
016,faq,0.0120429825
016,hear,0.012151535
016,original,0.010655771
016,post,0.010891118
016,christian,0.0102270935
016,black,0.008212754
017,key,0.06818894
017,chip,0.023919025
017,encryption,0.012782004
017,send,0.013689389
017,clipper,0.011971614
017,government,0.01200631
017,escrow,0.010119404
017,encrypt,0.010057281
017,system,0.012380941
017,bite,0.011612385
018,drive,0.116713345
018,hard,0.028295765
018,scsi,0.02605673
018,disk,0.021410704
018,floppy,0.015763488
018,controller,0.015438129
018,shaft,0.0114004165
018,wheelie,0.010255996
018,cd,0.010316399
018,motorcycle,0.010206055
019,numb,0.06235155
019,call,0.045438495
019,phone,0.038303245
019,dial,0.01730575
019,bbs,0.0152026275
019,line,0.014968841
019,support,0.013288433
019,give,0.012877019
019,leg,0.010867927
019,tech,0.010744639
